"memory_address";"file_offset";"bytes_change";"code_change";"description"
"00159F38";"0005AF38";"5042013C";"lui at,0x4250";"move right digit of chaff count down during koi-koi result screen"
"00159FCC";"0005AFCC";"A5000324";"addiu v1,zero,0xA5";"move left digit of chaff count to the right during koi-koi result screen"
"00159FE4";"0005AFE4";"5042013C";"lui at,0x4250";"move left digit of chaff count down during koi-koi result screen"
;;;;
"00226648";"00127648";"3C000000";;"increase x size of paulownia row yaku indicator during the game of hana-awase"
"0022664C";"0012764C";"1C000000";;"increase y size of paulownia row yaku indicator during the game of hana-awase"
"00226670";"00127670";"3C000000";;"size of paulownia row indicator also affects spacing of the rest"
"00226674";"00127674";"1C000000";;
"00226698";"00127698";"3C000000";;
"0022669C";"0012769C";"1C000000";;
"002266C0";"001276C0";"3C000000";;
"002266C4";"001276C4";"1C000000";;
"002266E8";"001276E8";"3C000000";;
"002266EC";"001276EC";"1C000000";;
"00226710";"00127710";"3C000000";;
"00226714";"00127714";"1C000000";;
"00226738";"00127738";"3C000000";;
"0022673C";"0012773C";"1C000000";;
"00226760";"00127760";"3C000000";;
"00226764";"00127764";"1C000000";;
"00226788";"00127788";"3C000000";;
"0022678C";"0012778C";"1C000000";;
"002267B0";"001277B0";"3C000000";;
"002267B4";"001277B4";"1C000000";;
"002267D8";"001277D8";"3C000000";;
"002267DC";"001277DC";"1C000000";;
"00226800";"00127800";"3C000000";;
"00226804";"00127804";"1C000000";;
"00226828";"00127828";"3C000000";;
"0022682C";"0012782C";"1C000000";;
"00226850";"00127850";"3C000000";;
"00226854";"00127854";"1C000000";;
"00226878";"00127878";"3C000000";;
"0022687C";"0012787C";"1C000000";;
"002268A0";"001278A0";"3C000000";;
"002268A4";"001278A4";"1C000000";;
"00226F80";"00127F80";"3C000000";;"lit yellow paulownia row indicator"
"00226F84";"00127F84";"1C000000";;
"00226FA8";"00127FA8";"3C000000";;
"00226FAC";"00127FAC";"1C000000";;
"00226FD0";"00127FD0";"3C000000";;
"00226FD4";"00127FD4";"1C000000";;
"00226FF8";"00127FF8";"3C000000";;
"00226FFC";"00127FFC";"1C000000";;
"00227020";"00128020";"3C000000";;
"00227024";"00128024";"1C000000";;
"00227048";"00128048";"3C000000";;
"0022704C";"0012804C";"1C000000";;
"00227070";"00128070";"3C000000";;
"00227074";"00128074";"1C000000";;
"00227098";"00128098";"3C000000";;
"0022709C";"0012809C";"1C000000";;
"002270C0";"001280C0";"3C000000";;
"002270C4";"001280C4";"1C000000";;
"002270E8";"001280E8";"3C000000";;
"002270EC";"001280EC";"1C000000";;
"00227110";"00128110";"3C000000";;
"00227114";"00128114";"1C000000";;
"00227138";"00128138";"3C000000";;
"0022713C";"0012813C";"1C000000";;
"00227160";"00128160";"3C000000";;
"00227164";"00128164";"1C000000";;
"00227188";"00128188";"3C000000";;
"0022718C";"0012818C";"1C000000";;
"002271B0";"001281B0";"3C000000";;
"002271B4";"001281B4";"1C000000";;
"002271D8";"001281D8";"3C000000";;
"002271DC";"001281DC";"1C000000";;
;;;;
"00165980";"00066980";"FEFF8324";"addiu v1,a0,-0x2";"move first? row yaku indicators for player to the right during the game of hana-awase"
"00165994";"00066994";;;"y position"
